DOY	tray position	chamber	sample interval	sample id	sample date	sample time	process time	CH4	CH4 retention time	CH4 area	CO2	CO2 retention time	CO2 area	N2O	N2O retention time	N2O area	CH4 cal ppm	CO2 cal ppm	N2O cal ppm
	95	O10	10	O10-300-10	05.11.2016	07:46:23	00:05:21	CH4	2.136	20.2782	CO2	3.663	4729.338	N2O	3.403	574.1793			
	96			STD	05.11.2016	07:51:44	00:05:22	CH4	2.14	38.7267	CO2	3.67	3739.617	N2O	3.403	709.8128			
	97			STD	05.11.2016	07:57:06	00:05:22	CH4	2.143	38.7418	CO2	3.676	3744.8264	N2O	3.413	714.2018			
	98			STD	05.11.2016	08:02:28	00:05:22	CH4	2.146	38.897	CO2	3.683	3746.328	N2O	3.41	717.4758			
	99			STD	05.11.2016	08:07:50	00:05:21	CH4	2.143	38.6233	CO2	3.68	3721.8444	N2O	3.413	717.0402			
	100	O11	0	O11-300-0	05.11.2016	08:13:11	00:05:22	CH4	2.14	19.9128	CO2	3.67	3969.545	N2O	3.41	574.3236			
	101	O11	5	O11-300-5	05.11.2016	08:18:33	00:05:11	CH4	2.136	20.1273	CO2	3.663	4666.1446	N2O	3.403	574.5454			
	102	O11	10	O11-300-10	05.11.2016	08:23:44	00:05:21	CH4	2.14	20.1172	CO2	3.67	4925.7669	N2O	3.41	565.6438			
	103	O12	0	O12-300-0	05.11.2016	08:29:05	00:05:22	CH4	2.14	20.2523	CO2	3.676	4724.1272	N2O	3.41	564.4873			
	104	O12	5	O12-300-5	05.11.2016	08:34:27	00:05:21	CH4	2.146	19.7975	CO2	3.68	4940.6668	N2O	3.41	571.156			
	105	O12	10	O12-300-10	05.11.2016	08:39:48	00:05:22	CH4	2.143	20.1978	CO2	3.676	4921.3982	N2O	3.41	574.4958			
	106	O13	0	O13-300-0	05.11.2016	08:45:10	00:05:22	CH4	2.143	19.9629	CO2	3.676	4546.543	N2O	3.413	568.9351			
	107	O13	5	O13-300-5	05.11.2016	08:50:32	00:05:21	CH4	2.143	20.5832	CO2	3.673	5253.1072	N2O	3.416	572.7883			
	108	O13	10	O13-300-10	05.11.2016	08:55:53	00:05:21	CH4	2.14	20.6965	CO2	3.666	5314.2852	N2O	3.406	573.7113			
	109	O14	0	O14-300-0	05.11.2016	09:01:14	00:05:22	CH4	2.143	19.9374	CO2	3.686	4251.0314	N2O	3.413	571.5035			
	110	O14	5	O14-300-5	05.11.2016	09:06:36	00:05:21	CH4	2.146	19.9018	CO2	3.683	4541.3492	N2O	3.416	568.3748			
	111	O14	10	O14-300-10	05.11.2016	09:11:57	00:05:22	CH4	2.136	20.337	CO2	3.67	4985.7566	N2O	3.403	571.0494			
	112	O15	0	O15-300-0	05.11.2016	09:17:19	00:05:22	CH4	2.143	19.9284	CO2	3.67	4620.4312	N2O	3.406	569.4919			
	113	O15	5	O15-300-5	05.11.2016	09:22:41	00:05:21	CH4	2.136	20.0253	CO2	3.663	4756.4854	N2O	3.403	571.7226			
	114	O15	10	O15-300-10	05.11.2016	09:28:02	00:05:21	CH4	2.146	20.162	CO2	3.69	4779.5459	N2O	3.413	574.531			
	115			STD	05.11.2016	09:33:23	00:05:22	CH4	2.14	38.515	CO2	3.68	3718.4786	N2O	3.41	717.1024			
	116			STD	05.11.2016	09:38:45	00:05:21	CH4	2.143	38.6304	CO2	3.673	3716.612	N2O	3.41	708.4948			
	117			STD	05.11.2016	09:44:06	00:05:21	CH4	2.14	38.7156	CO2	3.666	3731.1961	N2O	3.4	713.8442			
	118			STD	05.11.2016	09:49:27	###############	CH4	2.136	39.0853	CO2	3.666	3706.3071	N2O	3.403	713.4206			
